performances,author
9495,Molière (Jean-Baptiste Poquelin dit)
5168,Dancourt (Florent Carton dit)
3230,Regnard (Jean-François)
3097,Racine (Jean)
2840,Corneille (Pierre)
2591,Voltaire (François-Marie Arouet dit)
2371,Legrand (Marc-Antoine)
2313,"Hauteroche (Noël Lebreton, sieur de)"
1844,Du Fresny (Charles)
1269,Destouches (Philippe Néricault dit)
1085,Corneille (Thomas)
898,Brueys (David-Augustin de)
856,Baron (Michel Boyron dit)
852,Boursault (Edme)
757,Boissy (Louis de)
752,Montfleury (Antoine Jacob dit)
750,Campistron (Jean Galbert de)
724,Fagan (Barthélemy-Christophe)
709,Palaprat (Jean de)
692,La Chaussée (Pierre-Claude)
612,La Fontaine (Jean de)
601,Lesage (Alain-René)
550,Poisson (Philippe)
538,Marivaux (Pierre de)
521,Crébillon père (Prosper Jolyot de Crébillon dit)
497,Scarron (Paul)
487,La Font (Joseph de)
485,Molière (Jean-Baptiste Poquelin dit) - arrangée et versifiée par Corneille (Thomas)
418,Quinault (Philippe)
416,La Motte (Antoine Houdar de)
416,Piron (Alexis)
406,Poisson (Raymond)
335,Beaumarchais (Pierre-Augustin Caron de)
325,Saint-Foix (Germain-François Poullain de)
319,"La Fontaine (Jean de) ; Champmeslé (Charles Chevillet, sieur de Champmeslé, dit)"
308,Le Mierre (Antoine-Marin)
306,Corneille (Thomas) ; Donneau de Vizé (Jean)
298,Belloy (Pierre Laurent de)
295,Rochon de Chabannes (Marc-Antoine-Jacques)
278,Collé (Charles)
274,"Pont-de-Veyle (Antoine de Fériol, comte de)"
257,La Chapelle (Jean de)
235,La Grange-Chancel (François-Joseph de)
229,Guyot de Merville (Michel)
221,Chamfort (Sébastien-Roch-Nicolas de)
218,Genest (Charles-Claude)
215,Boindin (Nicolas)
210,Saurin (Bernard-Joseph)
204,Sedaine (Michel-Jean)
200,"Racine (Jean), Moreau (Jean-Baptiste)"
186,Rotrou (Jean de)
185,Cahusac (Louis de)
179,Pradon (Nicolas)
179,Champmeslé (Charles Chevillet dit)
178,La Harpe (Jean François de)
178,Anonyme
178,Dorat (Claude-Joseph)
171,La Fosse (Antoine de)
167,Boutet de Monvel (Jacques-Marie)
167,Péchantrés (Nicolas de)
166,Longepierre (Hilaire-Bernard de)
159,"Palaprat (Jean de, sieur de Bigot)"
156,Gresset (Jean-Baptiste-Louis)
144,"La Tuillerie (Jean-François Juvenon de La Tuillerie, dit)"
135,Collin d'Harleville (Jean-François)
129,Ducis (Jean-François)
124,Diderot (Denis)
116,Pellegrin (Simon-Joseph)
115,Le Franc de Pompignan (Jean-Jacques)
114,Guimond de La Touche (Claude)
110,Poinsinet (Antoine-Alexandre-Henri)
106,Barthe (Nicolas-Thomas)
103,"La Noue (Jean-Baptiste Simon Sauvé de La Noue, dit)"
99,Desmarres
97,Fuzelier (Louis)
85,Goldoni (Carlo)
81,Bret (Antoine)
78,Cailhava de L'Estandoux (Jean-François)
75,Allainval (Léonor-Jean-Christine Soulas d')
71,Brueys (David-Augustin de) ; Palaprat (Jean de)
70,Palissot de Montenoy (Charles)
69,Bernard (Catherine)
69,Rousseau (Jean-Baptiste)
69,Graffigny (Françoise de)
68,"Brécourt (Guillaume Marcoureau, sieur de Brécourt, dit)"
68,Pieyre (Alexandre)
67,Marmontel (Jean-François)
67,Vigée (Louis-Jean-Baptiste-Étienne)
65,Danchet (Antoine)
65,La Fontaine (Jean de) ; Champmeslé (Charles Chevillet dit)
64,Lantier (Étienne François de)
60,Barbier (Marie-Anne)
59,Riupeirous (Théodore de)
59,Châteaubrun (Jean-Baptiste Vivien de)
59,Rousseau (Jean-Jacques)
58,Brousse-Desfaucherets (Jean-Louis)
57,Vaure (Jacques du) 
56,Gomez (Madeleine-Angélique de)
55,Imbert (Barthélemy)
55,Raisin (Jacques)
55,Manteufel (Ernest de)
55,"Boyer (Claude, abbé) pseud : Pader d'Assézan"
54,Forgeot (Nicolas-Julien)
54,Simonet de Maisonneuve (Louis-Jean-Baptiste)
53,Du Ryer (Pierre)
51,Billardon de Sauvigny (Edme-Louis)
50,Pilhes (Joseph)
47,Aigueberre (Jean Dumas d')
46,Autreau (Jacques)
46,Le Blanc de Guillet (Antoine)
46,""
45,Tristan L'Hermite
44,La Place (Pierre-Antoine de)
44,Duché de Vancy (Joseph-François)
43,Desfontaines (François-Georges)
43,Desmahis (Joseph-François-Edouard de Corsembleu)
42,Favart (Charles-Simon)
41,Lefèvre (Pierre-François-Alexandre)
41,Chénier (Marie-Joseph de)
41,Longueil (Charles-Henri de)
40,Jolly (François-Antoine)
39,Legrand (Marc-Antoine) ; Fuzelier (Louis)
38,Carbon de Flins Des Oliviers (Claude-Marie-Louis-Emmanuel)
37,"Bièvre (François-Georges Maréchal, marquis de)"
37,"Robbe, Jacques"
34,Collet de Messine (Jean-Baptiste)
34,Desmarets de Saint-Sorlin (Jean)
32,Dudoyer de Gastels (Gérard)
31,Legouvé (Gabriel-Marie)
30,Harny de Guerville
29,Fabre d'Églantine (Philippe-François-Nazaire)
29,André-Murville (Pierre-Nicolas)
29,Mercier (Louis-Sebastien)
28,Deschamps (François-Michel-Chrétien)
28,Demoustier (Charles-Albert)
28,Belin (François)
27,Laujon (Pierre)
27,Arnault (Antoine Vincent)
26,Laya (Jean-Louis)
25,Caux de Montlebert (Gilles de)
24,Roy (Pierre-Charles) ; La Font (Joseph de)
23,"Boyer (Claude, abbé)"
23,Arnaud (François-Thomas-Marie de Baculard d')
23,Ségur (Joseph-Alexandre-Pierre de)
23,Colardeau (Charles-Pierre)
23,Raisin (Jean-Baptiste)
22,Nadal (Augustin)
22,Dubuisson (Pierre-Ulric)
22,Mauger
21,Renout (Jean-Julien-Constantin)
20,Blin de Sainmore (Adrien-Michel-Hyacinthe)
19,Morand (Pierre de)
19,"Grave (Jean Hyacinthe, vicomte de)"
18,Poinsinet de Sivry (Louis)
18,"Rosimond (Claude Rose, sieur de)"
17,"Leblanc (Jean-Bernard, abbé)"
17,"Nadal (Augustin, abbé)"
16,Fenouillot de Falbaire de Quingey (Charles-Georges)
16,Desaudras
15,Gaultier
15,Dampierre de la Salle
15,Donneau de Vizé (Jean)
15,Picard (Louis-Benoît)
15,Boindin (Nicolas) ; La Motte (Antoine Houdar de)
14,Artaud (Jean-Baptiste)
14,"Aubry (Jean-Baptiste Aubry des Carrières, dit)"
13,Boistel d'Welles (Jean-Baptiste-Robert ou Robert)
13,Rousseau (Pierre de Toulouse)
13,Laignelot (Joseph François)
13,Aunillon (Pierre-Charles-Fabiot)
12,Baragué
12,Saint-Yon 
12,Lesur (Charles-Louis)
12,Linant (Nicolas-Michel)
12,Rousseau (Pierre-Joseph)
12,Patu (Claude-Pierre) ; Portelance (Michel)
11,Yon
11,Auvigny (Jean du Castre d')
11,Boisrobert (François Le Métel de)
11,Du Bocage (Anne-Marie)
11,Fallet (Nicolas)
11,Fontenelle (Bernard le Bouvier de)
11,Gilbert (Gabriel)
11,Grandval (Nicolas Racot de)
10,Brunet (Pierre-Nicolas)
10,Denon (Dominique-Vivant)
10,Dezède (Nicolas)
10,Procope-Couteaux (Michel)
10,Le Clerc de La Bruère (Charles-Antoine)
9,Parisau (Pierre-Germain)
9,Brie (de)
9,Guérin d'Estriché (Nicolas-Armand-Martial)
9,Bauvin (Jean-Grégoire)
9,"Saint-Glas (Pierre de, abbé de Saint-Ussans)"
