performances,genre_1,genre_2,genre_3
13650,comédie,comédie,
11832,tragédie,comédie,
3872,comédie,,
719,tragédie,,
686,comédie-ballet,,
499,comédie,comédie-ballet,
436,tragi-comédie / tragédie,comédie,
318,tragédie,comédie-ballet,
317,drame,comédie,
256,comédie héroïque,comédie,
202,tragédie,other,
184,comédie-ballet,comédie,
153,comédie,other,
128,other,,
116,other,comédie,
113,comédie,comédie,comédie
112,comédie - drame,comédie,
110,tragi-comédie,comédie,
82,comédie,tragédie,
66,comédie héroïque,,
30,comédie-ballet,comédie-ballet,
19,tragi-comédie,,
17,tragi-comédie / tragédie,comédie-ballet,
16,tragédie,comédie héroïque,
13,comédie,drame,
13,comédie-ballet,other,
11,,,
11,drame,other,
11,comédie,comédie héroïque,
10,tragi-comédie / tragédie,other,
10,tragédie,comédie,comédie
9,tragédie,drame,
9,drame,comédie-ballet,
8,other,comédie-ballet,
6,comédie - drame,other,
6,other,tragédie,
5,comédie,other,comédie
5,tragi-comédie,comédie-ballet,
5,comédie héroïque,comédie-ballet,
3,comédie,comédie - drame,
3,comédie,comédie,comédie-ballet
3,comédie,comédie,other
3,comédie,comédie-ballet,comédie
2,comédie héroïque,other,
2,comédie - drame,comédie-ballet,
1,comédie,tragédie,other
1,other,comédie,comédie
1,comédie,tragi-comédie,
1,other,comédie héroïque,
1,tragi-comédie,comédie,comédie
1,tragi-comédie,other,
1,comédie-ballet,comédie,comédie
1,tragi-comédie / tragédie,comédie héroïque,
1,tragi-comédie / tragédie,tragédie,
1,tragédie,other,comédie
1,tragédie,tragédie,
1,comédie-ballet,comédie-ballet,comédie
1,comédie,tragi-comédie / tragédie,
