season,title,author,performances
1746-1747,"","",2
1769-1770,"","",2
1770-1771,"","",3
1772-1773,"","",1
1773-1774,"","",7
1737-1738,Cavalcade (La),"",7
1741-1742,Cavalcade (La),"",2
1742-1743,Cavalcade (La),"",6
1743-1744,Cavalcade (La),"",1
1755-1756,Cavalcade (La),"",2
1765-1766,Cavalcade (La),"",1
1770-1771,Cavalcade (La),"",3
1771-1772,Cavalcade (La),"",2
1776-1777,Cavalcade (La),"",7
1685-1686,Aristobule,"Abeille (Gaspard, abbé)",3
1688-1689,Coriolan,"Abeille (Gaspard, abbé)",3
1729-1730,Avare amoureux (L'),Aigueberre (Jean Dumas d'),3
1733-1734,Avare amoureux (L'),Aigueberre (Jean Dumas d'),8
1737-1738,Avare amoureux (L'),Aigueberre (Jean Dumas d'),3
1742-1743,Avare amoureux (L'),Aigueberre (Jean Dumas d'),1
1752-1753,Avare amoureux (L'),Aigueberre (Jean Dumas d'),2
1779-1780,Avare amoureux (L'),Aigueberre (Jean Dumas d'),1
1780-1781,Avare amoureux (L'),Aigueberre (Jean Dumas d'),2
1730-1731,Prince de Noisy (Le),Aigueberre (Jean Dumas d'),7
1729-1730,"Trois spectacles (Les) ou Polixène, tragédie, L'Avare amoureux, comédie et Pan et Doris, pastorale héroïque",Aigueberre (Jean Dumas d'),20
1726-1727,Fausse comtesse (La),Allainval (Léonor-Jean-Christine Soulas d'),5
1731-1732,Mari curieux (Le),Allainval (Léonor-Jean-Christine Soulas d'),15
1728-1729,École des bourgeois (L'),Allainval (Léonor-Jean-Christine Soulas d'),9
1770-1771,École des bourgeois (L'),Allainval (Léonor-Jean-Christine Soulas d'),3
1786-1787,École des bourgeois (L'),Allainval (Léonor-Jean-Christine Soulas d'),2
1787-1788,École des bourgeois (L'),Allainval (Léonor-Jean-Christine Soulas d'),12
1788-1789,École des bourgeois (L'),Allainval (Léonor-Jean-Christine Soulas d'),7
1789-1790,École des bourgeois (L'),Allainval (Léonor-Jean-Christine Soulas d'),2
1790-1791,École des bourgeois (L'),Allainval (Léonor-Jean-Christine Soulas d'),7
1791-1792,École des bourgeois (L'),Allainval (Léonor-Jean-Christine Soulas d'),8
1792-1793,École des bourgeois (L'),Allainval (Léonor-Jean-Christine Soulas d'),5
1743-1744,Muet par amour (Le),Alliot,1
1751-1752,Muet par amour (Le),Alliot,1
1788-1789,Lanval et Viviane ou les Fées et les chevaliers,André-Murville (Pierre-Nicolas),10
1785-1786,Melcour et Verseuil,André-Murville (Pierre-Nicolas),9
1786-1787,Melcour et Verseuil,André-Murville (Pierre-Nicolas),2
1781-1782,Rendez-vous du mari ou le Mari à la mode (Le),André-Murville (Pierre-Nicolas),5
1789-1790,Souper magique ou les Deux siècles (Le),André-Murville (Pierre-Nicolas),3
1687-1688,Badaud (Le),Anonyme,5
1697-1698,Bourget (Le),Anonyme,8
1691-1692,Chasse ridicule (La),Anonyme,6
1684-1685,Danse de Gigogne,Anonyme,2
1693-1694,Dédit (Le),Anonyme,1
1730-1731,Effet de la prévention (L'),Anonyme,1
1697-1698,Enfant gâté (L'),Anonyme,1
1699-1700,Entêtement ridicule (L'),Anonyme,8
1694-1695,Entêté (L'),Anonyme,2
1696-1697,Fille médecin (La),Anonyme,4
1703-1704,Frontin gouverneur du château de Vertigililinguen,Anonyme,4
1680-1681,Gentilhomme meunier (Le),Anonyme,5
1700-1701,Gros lot de Marseille (Le),Anonyme,21
1695-1696,Gênois (Le),Anonyme,1
1740-1741,Heureux échange (L'),Anonyme,2
1686-1687,Homme de guerre (L'),Anonyme,7
1685-1686,Héroïne (L'),Anonyme,4
1695-1696,Jaloux masqué (Le),Anonyme,7
1694-1695,Jeune homme (Le),Anonyme,2
1681-1682,Le Laquais fille,Anonyme,3
1697-1698,Marquis de l'industrie (Le),Anonyme,1
1699-1700,Marquise imaginaire (La),Anonyme,18
1700-1701,Marquise imaginaire (La),Anonyme,1
1696-1697,Maréchal médecin (Le) ou les Houssards ou le Médecin de Mantes,Anonyme,7
1704-1705,Médecin de village (Le),Anonyme,7
1685-1686,Opérateur (L'),Anonyme,7
1701-1702,Petit maître de campagne ou le Vicomte de Génicourt (Le),Anonyme,3
1696-1697,Petits Maîtres d'été (Les),Anonyme,8
1705-1706,Provençale (La),Anonyme,4
1699-1700,Père supposé (Le),Anonyme,1
1687-1688,Rival de son maître (Le),Anonyme,6
1706-1707,Rival de son maître (Le),Anonyme,3
1714-1715,Rivaux d'eux-mêmes (Les),Anonyme,3
1754-1755,Souper (Le),Anonyme,1
1696-1697,Sœurs rivales (Les),Anonyme,5
1694-1695,Triomphe de l'hiver (Le),Anonyme,1
1743-1744,Vieillards rajeunis (Les),Anonyme,1
1693-1694,Zénobie,Anonyme,5
1688-1689,Épreuve dangereuse (L'),Anonyme,2
1690-1691,Cadet de Gascogne (Le),Anonyme ,1
1715-1716,Cadet de Gascogne (Le),Anonyme ,1
1680-1681,Usuriers (Les),Anonyme ,2
1790-1791,Amants malheureux ou le Comte de Comminges (Les),Arnaud (François-Thomas-Marie de Baculard d'),20
1792-1793,Amants malheureux ou le Comte de Comminges (Les),Arnaud (François-Thomas-Marie de Baculard d'),3
1792-1793,Lucrèce,Arnault (Antoine Vincent),7
1791-1792,Marius à Minturnes,Arnault (Antoine Vincent),14
1792-1793,Marius à Minturnes,Arnault (Antoine Vincent),6
1772-1773,Centenaire de Molière (Le),Artaud (Jean-Baptiste),11
1773-1774,Centenaire de Molière (Le),Artaud (Jean-Baptiste),3
1690-1691,Agathocle,"Aubry (Jean-Baptiste Aubry des Carrières, dit)",3
1689-1690,Démétrius,"Aubry (Jean-Baptiste Aubry des Carrières, dit)",11
1790-1791,Journaliste des ombres ou Momus aux Champs-Élysées (Le),Aude (Joseph),6
1727-1728,Amants déguisés (Les),Aunillon (Pierre-Charles-Fabiot),5
1728-1729,Amants déguisés (Les),Aunillon (Pierre-Charles-Fabiot),1
